age,year,mx
29,2085,0.00026
29,2086,0.00026
29,2087,0.00026
29,2088,0.00025
29,2089,0.00025
29,2090,0.00025
29,2091,0.00025
29,2092,0.00025
29,2093,0.00024
29,2094,0.00024
29,2095,0.00024
29,2096,0.00024
29,2097,0.00024
29,2098,0.00024
29,2099,0.00023
29,2100,0.00023
30,2022,0.00045
30,2023,0.00044
30,2024,0.00043
30,2025,0.00043
30,2026,0.00043
30,2027,0.00042
30,2028,0.00042
30,2029,0.00042
30,2030,0.00041
30,2031,0.00041
30,2032,0.00041
30,2033,4e-04
30,2034,4e-04
30,2035,4e-04
30,2036,4e-04
30,2037,0.00039
30,2038,0.00039
30,2039,0.00039
30,2040,0.00039
30,2041,0.00038
30,2042,0.00038
30,2043,0.00038
30,2044,0.00037
30,2045,0.00037
30,2046,0.00037
30,2047,0.00037
30,2048,0.00036
30,2049,0.00036
30,2050,0.00036
30,2051,0.00036
30,2052,0.00035
30,2053,0.00035
30,2054,0.00035
30,2055,0.00035
30,2056,0.00034
30,2057,0.00034
30,2058,0.00034
30,2059,0.00034
30,2060,0.00033
30,2061,0.00033
30,2062,0.00033
30,2063,0.00033
30,2064,0.00032
30,2065,0.00032
30,2066,0.00032
30,2067,0.00032
30,2068,0.00032
30,2069,0.00031
30,2070,0.00031
30,2071,0.00031
30,2072,0.00031
30,2073,3e-04
30,2074,3e-04
30,2075,3e-04
30,2076,3e-04
30,2077,3e-04
30,2078,0.00029
30,2079,0.00029
30,2080,0.00029
30,2081,0.00029
30,2082,0.00029
30,2083,0.00028
30,2084,0.00028
30,2085,0.00028
30,2086,0.00028
30,2087,0.00028
30,2088,0.00027
30,2089,0.00027
30,2090,0.00027
30,2091,0.00027
30,2092,0.00027
30,2093,0.00026
30,2094,0.00026
30,2095,0.00026
30,2096,0.00026
30,2097,0.00026
30,2098,0.00026
30,2099,0.00025
30,2100,0.00025
31,2022,0.00047
31,2023,0.00046
31,2024,0.00045
31,2025,0.00045
31,2026,0.00045
31,2027,0.00044
31,2028,0.00044
31,2029,0.00044
31,2030,0.00043
31,2031,0.00043
31,2032,0.00043
31,2033,0.00043
31,2034,0.00042
31,2035,0.00042
31,2036,0.00042
31,2037,0.00041
31,2038,0.00041
31,2039,0.00041
31,2040,0.00041
31,2041,4e-04
31,2042,4e-04
31,2043,4e-04
31,2044,4e-04
31,2045,0.00039
31,2046,0.00039
31,2047,0.00039
31,2048,0.00038
31,2049,0.00038
31,2050,0.00038
31,2051,0.00038
31,2052,0.00037
31,2053,0.00037
31,2054,0.00037
31,2055,0.00037
31,2056,0.00036
31,2057,0.00036
31,2058,0.00036
31,2059,0.00036
31,2060,0.00036
31,2061,0.00035
31,2062,0.00035
31,2063,0.00035
31,2064,0.00035
31,2065,0.00034
31,2066,0.00034
31,2067,0.00034
31,2068,0.00034
31,2069,0.00033
31,2070,0.00033
31,2071,0.00033
31,2072,0.00033
31,2073,0.00033
31,2074,0.00032
31,2075,0.00032
31,2076,0.00032
31,2077,0.00032
31,2078,0.00031
31,2079,0.00031
31,2080,0.00031
31,2081,0.00031
31,2082,0.00031
31,2083,3e-04
31,2084,3e-04
31,2085,3e-04
31,2086,3e-04
31,2087,3e-04
31,2088,0.00029
31,2089,0.00029
31,2090,0.00029
31,2091,0.00029
31,2092,0.00029
31,2093,0.00028
31,2094,0.00028
31,2095,0.00028
31,2096,0.00028
31,2097,0.00028
31,2098,0.00028
31,2099,0.00027
31,2100,0.00027
32,2022,5e-04
32,2023,0.00048
32,2024,0.00047
32,2025,0.00047
32,2026,0.00047
32,2027,0.00046
32,2028,0.00046
32,2029,0.00046
32,2030,0.00046
32,2031,0.00045
32,2032,0.00045
32,2033,0.00045
32,2034,0.00044
32,2035,0.00044
32,2036,0.00044
32,2037,0.00044
32,2038,0.00043
32,2039,0.00043
32,2040,0.00043
32,2041,0.00042
32,2042,0.00042
32,2043,0.00042
32,2044,0.00042
32,2045,0.00041
32,2046,0.00041
32,2047,0.00041
32,2048,0.00041
32,2049,4e-04
32,2050,4e-04
32,2051,4e-04
32,2052,4e-04
32,2053,0.00039
32,2054,0.00039
32,2055,0.00039
32,2056,0.00039
32,2057,0.00038
32,2058,0.00038
32,2059,0.00038
32,2060,0.00038
32,2061,0.00037
32,2062,0.00037
32,2063,0.00037
32,2064,0.00037
32,2065,0.00036
32,2066,0.00036
32,2067,0.00036
32,2068,0.00036
32,2069,0.00036
32,2070,0.00035
32,2071,0.00035
32,2072,0.00035
32,2073,0.00035
32,2074,0.00034
32,2075,0.00034
32,2076,0.00034
32,2077,0.00034
32,2078,0.00034
32,2079,0.00033
32,2080,0.00033
32,2081,0.00033
32,2082,0.00033
32,2083,0.00032
32,2084,0.00032
32,2085,0.00032
32,2086,0.00032
32,2087,0.00032
32,2088,0.00031
32,2089,0.00031
32,2090,0.00031
32,2091,0.00031
32,2092,0.00031
32,2093,3e-04
32,2094,3e-04
32,2095,3e-04
32,2096,3e-04
32,2097,3e-04
32,2098,3e-04
32,2099,0.00029
32,2100,0.00029
33,2022,0.00052
33,2023,0.00051
33,2024,5e-04
33,2025,5e-04
33,2026,0.00049
33,2027,0.00049
33,2028,0.00049
33,2029,0.00048
33,2030,0.00048
33,2031,0.00048
33,2032,0.00048
33,2033,0.00047
33,2034,0.00047
33,2035,0.00047
33,2036,0.00047
33,2037,0.00046
33,2038,0.00046
33,2039,0.00046
33,2040,0.00045
33,2041,0.00045
33,2042,0.00045
33,2043,0.00045
33,2044,0.00044
33,2045,0.00044
33,2046,0.00044
33,2047,0.00044
33,2048,0.00043
33,2049,0.00043
33,2050,0.00043
33,2051,0.00043
33,2052,0.00042
33,2053,0.00042
33,2054,0.00042
33,2055,0.00042
33,2056,0.00041
33,2057,0.00041
33,2058,0.00041
33,2059,0.00041
33,2060,0.00041
33,2061,4e-04
33,2062,4e-04
33,2063,4e-04
33,2064,4e-04
33,2065,0.00039
33,2066,0.00039
33,2067,0.00039
33,2068,0.00039
33,2069,0.00039
33,2070,0.00038
33,2071,0.00038
33,2072,0.00038
33,2073,0.00038
33,2074,0.00037
33,2075,0.00037
33,2076,0.00037
33,2077,0.00037
33,2078,0.00037
33,2079,0.00036
33,2080,0.00036
33,2081,0.00036
33,2082,0.00036
33,2083,0.00036
33,2084,0.00035
33,2085,0.00035
33,2086,0.00035
33,2087,0.00035
33,2088,0.00035
33,2089,0.00034
33,2090,0.00034
33,2091,0.00034
33,2092,0.00034
33,2093,0.00034
33,2094,0.00033
33,2095,0.00033
33,2096,0.00033
33,2097,0.00033
33,2098,0.00033
33,2099,0.00032
33,2100,0.00032
34,2022,0.00055
34,2023,0.00054
34,2024,0.00053
34,2025,0.00052
34,2026,0.00052
34,2027,0.00052
34,2028,0.00052
34,2029,0.00051
34,2030,0.00051
34,2031,0.00051
34,2032,5e-04
34,2033,5e-04
34,2034,5e-04
34,2035,5e-04
34,2036,0.00049
34,2037,0.00049
34,2038,0.00049
34,2039,0.00048
34,2040,0.00048
34,2041,0.00048
34,2042,0.00048
34,2043,0.00047
34,2044,0.00047
34,2045,0.00047
34,2046,0.00047
34,2047,0.00046
34,2048,0.00046
34,2049,0.00046
34,2050,0.00046
34,2051,0.00045
34,2052,0.00045
34,2053,0.00045
34,2054,0.00045
34,2055,0.00044
34,2056,0.00044
34,2057,0.00044
34,2058,0.00044
34,2059,0.00043
34,2060,0.00043
34,2061,0.00043
34,2062,0.00043
34,2063,0.00042
34,2064,0.00042
34,2065,0.00042
34,2066,0.00042
34,2067,0.00041
34,2068,0.00041
34,2069,0.00041
34,2070,0.00041
34,2071,4e-04
34,2072,4e-04
34,2073,4e-04
34,2074,4e-04
34,2075,4e-04
34,2076,0.00039
34,2077,0.00039
34,2078,0.00039
34,2079,0.00039
34,2080,0.00038
34,2081,0.00038
34,2082,0.00038
34,2083,0.00038
34,2084,0.00038
34,2085,0.00037
34,2086,0.00037
34,2087,0.00037
34,2088,0.00037
34,2089,0.00037
34,2090,0.00036
34,2091,0.00036
34,2092,0.00036
34,2093,0.00036
34,2094,0.00036
34,2095,0.00035
34,2096,0.00035
34,2097,0.00035
34,2098,0.00035
34,2099,0.00035
34,2100,0.00034
35,2022,0.00059
35,2023,0.00058
35,2024,0.00056
35,2025,0.00056
35,2026,0.00055
35,2027,0.00055
35,2028,0.00055
35,2029,0.00054
35,2030,0.00054
35,2031,0.00054
35,2032,0.00054
35,2033,0.00053
35,2034,0.00053
35,2035,0.00053
35,2036,0.00052
35,2037,0.00052
35,2038,0.00052
35,2039,0.00051
35,2040,0.00051
35,2041,0.00051
35,2042,0.00051
35,2043,5e-04
35,2044,5e-04
35,2045,5e-04
35,2046,5e-04
35,2047,0.00049
35,2048,0.00049
35,2049,0.00049
35,2050,0.00048
35,2051,0.00048
35,2052,0.00048
35,2053,0.00048
35,2054,0.00047
35,2055,0.00047
35,2056,0.00047
35,2057,0.00047
35,2058,0.00046
35,2059,0.00046
35,2060,0.00046
35,2061,0.00046
35,2062,0.00045
35,2063,0.00045
35,2064,0.00045
35,2065,0.00045
35,2066,0.00044
35,2067,0.00044
35,2068,0.00044
35,2069,0.00044
35,2070,0.00043
35,2071,0.00043
35,2072,0.00043
35,2073,0.00043
35,2074,0.00042
35,2075,0.00042
35,2076,0.00042
35,2077,0.00042
35,2078,0.00041
35,2079,0.00041
35,2080,0.00041
35,2081,0.00041
35,2082,0.00041
35,2083,4e-04
35,2084,4e-04
35,2085,4e-04
35,2086,4e-04
35,2087,0.00039
35,2088,0.00039
35,2089,0.00039
35,2090,0.00039
35,2091,0.00039
35,2092,0.00038
35,2093,0.00038
35,2094,0.00038
35,2095,0.00038
35,2096,0.00038
35,2097,0.00037
35,2098,0.00037
