ssp,age,sex,period,assr,CNTR_CODE,cntr_name
3,20--24,Female,2095-2100,1,AT,Austria
2,95--99,Male,1960-1965,0.064,AT,Austria
3,30--34,Male,2060-2065,0.998,AT,Austria
3,40--44,Female,2020-2025,0.995,AT,Austria
3,50--54,Male,1985-1990,0.95,AT,Austria
1,15--19,Male,2000-2005,0.995,AT,Austria
2,60--64,Female,2095-2100,1,AT,Austria
2,70--74,Male,2060-2065,0.962,AT,Austria
2,80--84,Female,2020-2025,0.716,AT,Austria
3,100+,Male,2075-2080,0.049,AT,Austria
2,90--94,Male,1985-1990,0.159,AT,Austria
1,100+,Female,2095-2100,0.549,AT,Austria
1,0--4,Female,2060-2065,1,AT,Austria
3,35--39,Female,2045-2050,0.998,AT,Austria
1,10--14,Male,2025-2030,0.999,AT,Austria
1,20--24,Female,1985-1990,0.998,AT,Austria
1,30--34,Male,1950-1955,0.988,AT,Austria
2,65--69,Male,2085-2090,0.993,AT,Austria
2,75--79,Female,2045-2050,0.934,AT,Austria
3,Newborn,Male,2065-2070,0.998,AT,Austria
2,85--89,Male,2010-2015,0.402,AT,Austria
2,95--99,Female,1970-1975,0.076,AT,Austria
3,30--34,Female,2070-2075,0.999,AT,Austria
3,40--44,Male,2035-2040,0.992,AT,Austria
3,50--54,Female,1995-2000,0.981,AT,Austria
1,15--19,Female,2010-2015,0.999,AT,Austria
3,60--64,Male,1960-1965,0.837,AT,Austria
2,70--74,Female,2070-2075,0.994,AT,Austria
2,80--84,Male,2035-2040,0.714,AT,Austria
1,75--79,Male,2065-2070,0.982,AT,Austria
3,25--29,Female,2095-2100,1,AT,Austria
2,100+,Male,1960-1965,0,AT,Austria
3,35--39,Male,2060-2065,0.997,AT,Austria
3,45--49,Female,2020-2025,0.992,AT,Austria
3,55--59,Male,1985-1990,0.922,AT,Austria
1,20--24,Male,2000-2005,0.995,AT,Austria
2,65--69,Female,2095-2100,1,AT,Austria
2,75--79,Male,2060-2065,0.923,AT,Austria
2,85--89,Female,2020-2025,0.515,AT,Austria
3,Newborn,Female,2075-2080,0.999,AT,Austria
2,95--99,Male,1985-1990,0.079,AT,Austria
2,Newborn,Male,1950-1955,0.938,AT,Austria
1,5--9,Female,2060-2065,1,AT,Austria
