ssp,age,sex,year,pop,CNTR_CODE,cntr_name
2,45--49,Male,2050,266.1,AT,Austria
3,90--94,Male,2060,76.7,AT,Austria
3,100+,Male,2035,0.7,AT,Austria
3,0--4,Female,2010,190.4,AT,Austria
2,75--79,Male,1975,75.4,AT,Austria
3,10--14,Female,1985,248,AT,Austria
3,20--24,Female,1960,238.6,AT,Austria
2,30--34,Female,2090,260.9,AT,Austria
1,All,Female,2055,4603.4,AT,Austria
2,40--44,Female,2065,276.8,AT,Austria
2,50--54,Female,2040,312.5,AT,Austria
2,60--64,Female,2015,245.5,AT,Austria
1,25--29,Female,1980,244.5,AT,Austria
2,70--74,Female,1990,145.2,AT,Austria
2,80--84,Female,1965,62.4,AT,Austria
1,90--94,Female,2095,263.6,AT,Austria
3,15--19,Both,1980,644.3,AT,Austria
1,100+,Female,2070,95.3,AT,Austria
1,0--4,Both,2050,277.3,AT,Austria
1,10--14,Both,2025,423.6,AT,Austria
2,45--49,Both,2060,547.7,AT,Austria
1,20--24,Both,2000,467.4,AT,Austria
1,30--34,Both,1975,566.9,AT,Austria
1,40--44,Both,1950,541.1,AT,Austria
2,75--79,Both,1985,257.1,AT,Austria
3,10--14,Male,1995,244.9,AT,Austria
3,20--24,Male,1970,259.2,AT,Austria
2,30--34,Male,2100,266,AT,Austria
1,All,Male,2065,4352.3,AT,Austria
3,85--89,Male,2085,131.1,AT,Austria
2,50--54,Male,2050,281.7,AT,Austria
3,95--99,Male,2060,21.3,AT,Austria
3,All,Female,2035,4424.8,AT,Austria
3,5--9,Female,2010,198.4,AT,Austria
2,80--84,Male,1975,34.6,AT,Austria
3,15--19,Female,1985,304.8,AT,Austria
3,25--29,Female,1960,210,AT,Austria
2,35--39,Female,2090,271.9,AT,Austria
1,0--4,Female,2055,131.9,AT,Austria
2,45--49,Female,2065,278.3,AT,Austria
2,55--59,Female,2040,308.9,AT,Austria
2,65--69,Female,2015,233,AT,Austria
1,30--34,Female,1980,257.7,AT,Austria
2,75--79,Female,1990,166.1,AT,Austria
2,85--89,Female,1965,24.2,AT,Austria
1,95--99,Female,2095,277.6,AT,Austria
3,20--24,Both,1980,578.7,AT,Austria
1,All,Both,2075,8827.3,AT,Austria
1,5--9,Both,2050,292.1,AT,Austria
1,15--19,Both,2025,411.9,AT,Austria
2,50--54,Both,2060,530.8,AT,Austria
1,25--29,Both,2000,562.2,AT,Austria
1,35--39,Both,1975,493.6,AT,Austria
1,45--49,Both,1950,541.8,AT,Austria
2,80--84,Both,1985,154.3,AT,Austria
3,15--19,Male,1995,234.4,AT,Austria
3,25--29,Male,1970,281.2,AT,Austria
2,35--39,Male,2100,279.6,AT,Austria
1,0--4,Male,2065,127.5,AT,Austria
3,90--94,Male,2085,88.5,AT,Austria
2,55--59,Male,2050,316.7,AT,Austria
3,100+,Male,2060,2.3,AT,Austria
3,0--4,Female,2035,207.1,AT,Austria
3,10--14,Female,2010,214.3,AT,Austria
2,85--89,Male,1975,12.9,AT,Austria
3,20--24,Female,1985,316.5,AT,Austria
3,30--34,Female,1960,236.9,AT,Austria
2,40--44,Female,2090,273.9,AT,Austria
1,5--9,Female,2055,141.8,AT,Austria
2,50--54,Female,2065,272.3,AT,Austria
2,60--64,Female,2040,276,AT,Austria
2,70--74,Female,2015,235.1,AT,Austria
1,35--39,Female,1980,280.7,AT,Austria
2,80--84,Female,1990,119.1,AT,Austria
2,90--94,Female,1965,5.3,AT,Austria
1,100+,Female,2095,487,AT,Austria
3,25--29,Both,1980,493.1,AT,Austria
1,0--4,Both,2075,232.3,AT,Austria
1,10--14,Both,2050,303.6,AT,Austria
1,20--24,Both,2025,430.6,AT,Austria
2,55--59,Both,2060,530.2,AT,Austria
1,30--34,Both,2000,699.3,AT,Austria
1,40--44,Both,1975,430.1,AT,Austria
1,50--54,Both,1950,483.6,AT,Austria
2,85--89,Both,1985,62.2,AT,Austria
3,20--24,Male,1995,279.3,AT,Austria
3,30--34,Male,1970,245.9,AT,Austria
2,40--44,Male,2100,288.3,AT,Austria
1,5--9,Male,2065,140.2,AT,Austria
3,95--99,Male,2085,30,AT,Austria
2,60--64,Male,2050,305.9,AT,Austria
3,All,Female,2060,4106.6,AT,Austria
3,5--9,Female,2035,219.3,AT,Austria
3,15--19,Female,2010,245.8,AT,Austria
2,90--94,Male,1975,3,AT,Austria
3,25--29,Female,1985,286.3,AT,Austria
3,35--39,Female,1960,282.9,AT,Austria
2,45--49,Female,2090,272.7,AT,Austria
1,10--14,Female,2055,146.6,AT,Austria
